BrandName,BrandOriginCountry,BrandOriginRegion,BrandSector,BrandSubSector,Rank2001,Rank2002,Rank2003,Rank2004,Rank2005,Rank2006,Rank2007,Rank2008,Rank2009,Rank2010,Rank2011,Rank2012,Rank2013,Rank2014,Rank2015,Rank2016,Rank2017,Rank2018,Rank2019,Rank2020,Rank2021,Equity2001,Equity2002,Equity2003,Equity2004,Equity2005,Equity2006,Equity2007,Equity2008,Equity2009,Equity2010,Equity2011,Equity2012,Equity2013,Equity2014,Equity2015,Equity2016,Equity2017,Equity2018,Equity2019,Equity2020,Equity2021,GrowthRate2001,GrowthRate2002,GrowthRate2003,GrowthRate2004,GrowthRate2005,GrowthRate2006,GrowthRate2007,GrowthRate2008,GrowthRate2009,GrowthRate2010,GrowthRate2011,GrowthRate2012,GrowthRate2013,GrowthRate2014,GrowthRate2015,GrowthRate2016,GrowthRate2017,GrowthRate2018,GrowthRate2019,GrowthRate2020,GrowthRate2021
Bulgari,Italy,Europe,Fashion,Luxury,,,,,94,95,,,,,,,,,,,,,,,,,,,,2715,2875,,,,,,,,,,,,,,,,,,,,,5.89318600368325,,,,,,,,,,,,,,,
Armani,Italy,Europe,Fashion,Luxury,91,100,,93,95,97,,94,89,95,93,,,,,,,,,,,1490,1509,,2613,2677,2783,,3526,3303,3443,3794,,,,,,,,,,,,1.27516778523491,,,2.44929200153081,3.9596563317146,,,-6.32444696539989,4.23857099606419,10.1945977345338,,,,,,,,,,
Zara,Spain,Europe,Fashion,Apparel,,,,,77,73,64,62,50,48,44,37,36,36,30,27,24,25,29,35,45,,,,,3730,4235,5165,5955,6789,7468,8065,9488,10821,12126,14031,16766,18573,17712,17175,14862,13503,,,,,,13.5388739946381,21.9598583234947,15.2952565343659,14.0050377833753,10.0014729709825,7.99410819496518,17.6441413515189,14.0493254637437,12.0598835597449,15.7100445324097,19.49255220583,10.7777645234403,-4.63576158940398,-3.03184281842819,-13.4672489082969,-9.14412595882116
H&M,Sweden,Europe,Fashion,Apparel,,,,,,,,22,21,21,21,23,21,21,21,20,23,30,30,37,43,,,,,,,,13840,15375,16136,16459,16571,18168,21083,22222,22681,20488,16826,16345,14008,14133,,,,,,,,,11.0910404624277,4.94959349593496,2.00173525037184,0.680478765417103,9.63731820650533,16.0446939674152,5.40245695584121,2.06552065520655,-9.66888585159385,-17.8738773916439,-2.85867110424344,-14.2979504435607,0.892347230154189
Cartier,Switzerland,Europe,Fashion,Luxury,,,,91,89,86,83,79,77,77,70,68,60,58,57,62,65,67,68,73,73,,,,2749,3050,3360,3852,4236,3968,4052,4781,5495,6897,7449,7924,7738,7547,7646,8192,7494,8161,,,,,10.9494361586031,10.1639344262295,14.6428571428571,9.96884735202492,-6.32672332389046,2.11693548387097,17.9911154985192,14.9341142020498,25.5141037306643,8.0034797738147,6.37669485837025,-2.34729934376577,-2.46833807185319,1.31177951503909,7.14098875228877,-8.5205078125,8.90045369629036
Swatch,Switzerland,Europe,Fashion,Luxury,99,,,,,,,,,,,,,,,,,,,,,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolex,Switzerland,Europe,Fashion,Luxury,69,69,68,70,72,72,71,71,68,,,,,,,,,,,,,3701,3686,3673,3720,3906,4237,4589,4956,4609,,,,,,,,,,,,,,-0.405295865982169,-0.35268583830711,1.27960794990472,5,8.47414234511008,8.3077649280151,7.99738505120942,-7.00161420500404,,,,,,,,,,,,
Burberry,U.K.,Europe,Fashion,Luxury,,,,,,98,95,,98,100,95,82,77,73,73,83,86,94,96,97,97,,,,,,2783,3221,,3095,3110,3732,4342,5189,5594,5873,5362,5135,4989,5205,4809,5195,,,,,,,15.7384117858426,,,0.484652665589658,20,16.3451232583066,19.5071395670198,7.80497205627289,4.98748659277797,-8.70083432657927,-4.23349496456547,-2.84323271665043,4.32952495490078,-7.60806916426513,8.02661676024121
Nike,U.S.A.,America,Fashion,Sportswear,34,35,33,31,30,31,29,29,26,25,25,26,24,22,17,18,18,17,16,15,11,7589,7724,8167,9260,10114,10897,12003,12672,13179,13706,14528,15126,17085,19875,23070,25034,27021,30120,32376,34388,42538,,1.77889049940703,5.73537027446918,13.3831272192972,9.22246220302376,7.74174411706545,10.1495824538864,5.57360659835042,4.00094696969697,3.99878594734047,5.99737341310376,4.11618942731278,12.9512098373661,16.3301141352063,16.0754716981132,8.51322063285653,7.9372054006551,11.4688575552348,7.49003984063745,6.21447986162589,23.700127951611
Tiffany,U.S.A.,America,Fashion,Luxury,73,72,70,75,81,82,79,80,76,76,73,70,75,71,66,74,81,83,94,94,92,3483,3482,3540,3638,3618,3819,4003,4208,4000,4127,4498,5159,5440,5936,6306,5761,5394,5642,5335,4966,5484,,-0.0287108814240544,1.66570936243537,2.76836158192091,-0.549752611324905,5.55555555555556,4.81801518722178,5.12115913065201,-4.94296577946768,3.17499999999999,8.98958080930459,14.6954201867497,5.44679201395619,9.11764705882353,6.23315363881403,-8.64256263875673,-6.37042180177052,4.59770114942528,-5.4413328606877,-6.9165885660731,10.4309303262183
Levi's,U.S.A.,America,Fashion,Apparel,67,73,77,85,96,100,,,,,,,,,,,,,,,,3747,3454,3298,2979,2655,2689,,,,,,,,,,,,,,,,,-7.81958900453696,-4.51650260567458,-9.67252880533657,-10.8761329305136,1.28060263653484,,,,,,,,,,,,,,,
Gap,U.S.A.,America,Fashion,Apparel,31,36,36,38,40,52,61,77,78,84,84,100,100,99,,,,,,,,8746,7406,7688,7873,8195,6416,5481,4357,3922,3961,4040,3731,3920,4122,,,,,,,,,-15.3212897324491,3.80772346745881,2.40634755463058,4.08992760066049,-21.7083587553386,-14.5729426433915,-20.5072067141033,-9.98393389947211,0.994390617032126,1.99444584700834,-7.64851485148514,5.06566604127581,5.1530612244898,,,,,,,
Ralph & Lauren,U.S.A.,America,Fashion,Apparel,,,,,,,,,,,,91,88,83,91,98,,,,,,,,,,,,,,,,,4038,4584,4979,4629,4092,,,,,,,,,,,,,,,,,,13.5215453194651,8.61692844677138,-7.02952400080338,-11.600777705768,-100,,,,
Estee,U.S.A.,America,Fashion,Cosmetics,,,,92,,,,,,,,,,,,,,,,,,,,,2634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
